DESCRIPCION COMPLETA,PRODUCTO,EMPAQUE,UM,DIAS DE DESPACHO,C. Minimo,C. Ajustado,C. Maximo,C. Promedio,Altura,Largo,Ancho,Volumen (m^3),Condicion,FIN_NUM,Volumen Adaptado,Volumen Ajustado
QUESO PARMESANO CON AJO,QUESO PARMESANO,Bidon de 2 Kg,PZA,Jueves,28,42,42,25,27,14,16,0.006048,S,2,0.0756,0.003024
MARQUETA ALITAS,MARQUETA ALITAS,Pieza 15 kg,PZA,Viernes,26,40,40,36,11,59,39,0.025311,C,15,0.0607464,0.0016874
SALSA ABAL BBQ,SALSA ABAL BBQ,Galon  4.025 kg,PZA,1 vez al mes,19,6.25,25,21,30,15,17,0.00765,S,4.025,0.039913043,0.001900621
SALSA HOT BULL,SALSA HOT BULL,Galon  3.750 lt,PZA,1 vez al mes,6,2.5,10,8,32,13,15,0.00624,S,3.75,0.013312,0.001664
CAJA PARA ALITAS,CAJA PARA ALITAS,Caja c/200 pzas,PZA,Cada 6 meses,4,10,10,6,33,35,25,0.028875,S,200,0.00086625,0.000144375
HOJAS DE PAPEL ALUMINIO,HOJAS DE PAPEL ALUMINO,150 HOJAS,PZA,Cada 2 meses,7,15,15,9,0,0,0,0,S,150,0,0
CONDIMENTO L&P,POLVO LEMON PEPPER,Bolsa de 1/2 kg,BOL,1 vez al mes,11,5,20,15,20,8,9,0.00144,S,0.5,0.0432,0.00288
QUESO OAXACA,QUESO OAXACA,Bola de 3 kg,PZA,Jueves,180,200,200,163,13,21,19,0.005187,R,3,0.281827,0.001729
PAPAS MCCAIN,PAPAS A LA FRANCESAS ,Bolsa de 2.5 kg,BLS,Jueves,75,130,130,83,9,42,33,0.012474,C,2.5,0.4141368,0.0049896
BONELESS,BONELESS,Bolsa de 2 kg,BLS,Jueves,94,120,120,100,8,39,33,0.010296,C,2,0.5148,0.005148
SALSA RANCH,ADEREZO RANCH,Bolsa de 2 kg,PZA,1 vez al mes,15,20,20,7,5,20,22,0.0022,R,2,0.0077,0.0011
SALSA BLUE CHEESE,ADEREZO BLUE CHEESE,Bolsa de 2 kg,PZA,1 vez al mes,1,1.25,5,3,0,0,0,0,R,2,0,0
SALSA LEMON PEPPER,SALSA LEMON PEPPER,Galon 3.8 lt,PZA,1 vez al mes,1,1.25,5,3,32,19,10,0.00608,S,3.8,0.0048,0.0016
SALSA MANGO HABANERO,SALSA MANGO HABANERO ,Galon 3.8 lt,PZA,1 vez al mes,8,3.75,15,10,32,19,10,0.00608,S,3.8,0,0.0016
SALSA HAWAI,SALSA HAWAII,Galon 3.8 lt,PZA,1 vez al mes,1,5,5,1,32,19,10,0.00608,S,3.8,0,0.0016
SALSA TERIYAKI,SALSA TERIYAKI,Galon 3.8 lt,PZA,1 vez al mes,1,5,5,1,32,19,10,0.00608,S,3.8,0,0.0016
SALSA HONEY MUSTERD,SALSA MOSTAZA MIEL,Galon 3.8 lt,PZA,1 vez al mes,3,5,10,4,32,19,10,0.00608,S,3.8,0,0.0016
CONO PERSONALIZADO,CONO PERSONALIZADO,Paquete 50 Pz,PQ,Cada 2 meses,19,5,25,16,8,22,25,0.0044,S,50,0.001408,0.000088
PLATO PERSONALIZADO,PLATO PERSONALIZADO,Paquete 50 Pz,PQ,Cada 2 meses,49,12,90,55,5,21,18,0.00189,S,50,0.002079,0.0000378
PALILLO TIPO BANDERILLA,PALILLOS TIPO BANDERILLA,Paquete 100 Pz,PQ,1 vez al mes,13,12,25,16,0,0,0,0,S,100,0,0
SALSA QUESO CHEDDAR,SALSA QUESO CHEDDAR,Bolsa de 3 kg,PZA,Jueves,21,30,30,19,6,33,27,0.005346,R,3,0.033858,0.001782
CONO OBLEA,CONO OBLEA,Caja 100 piezas,CJ,Viernes,50,70,70,65,63,13,12,0.009828,R,100,0.0063882,0.00009828
BASE HELADO VAINILLA,BASE HELADO,Caja 9 Bolsas de 2 kg,CJ,Cada 15 dias,19,12,25,21,22,30,31,0.02046,S,18,0.02387,0.001136667
BASE HELADO CHOCOLATE,BASE HELADO,Caja 9 Bolsas de 2 kg,CJ,Cada 15 dias,14,11,22,15,0,0,0,0,S,18,0,0
