DESCRIPCION COMPLETA,PRODUCTO,EMPAQUE,UM,DIAS DE DESPACHO,C. Minimo,C. Maximo,C. Promedio,C. Max. Ajustado Semanal,Altura,Largo,Ancho,Volumen (m^3),Condicion,FIN_NUM,Volumen Adaptado,
PAPEL ENCERADO PERSONALIZADO,PAPEL ENCERADO PERSONALIZADO (Paquete de 1 kg),Paquete de 1kg ,KG,Cada 6 meses,18,25,16,1.0416,38,8,8,0.002432,S,1,0.038912,
BOLSAS DE PAPEL PARA PANITTOS,BOLSAS DE PAPEL PARA PANITTOS (500 PZA),Paquete de 500 bolsas,PAQ,Cada 3 meses,15,25,13,2.083,15,37,23,0.012765,S,500,0.00033189,
QUESO PARMESANO CON AJO,QUESO PARMESANO,Bidon de 2 Kg,PZA,Semanal (Jueves),28,42,25,42,27,14,16,0.006048,S,2,0.0756,
MARQUETA ALITAS,MARQUETA ALITAS,Pieza 15 kg,PZA,Semanal (Viernes),26,40,36,40,11,59,39,0.025311,C,15,0.0607464,
SALSA ABAL BBQ,SALSA ABAL BBQ,Galon  4.025 kg,PZA,1 vez al mes,19,25,21,6.25,30,15,17,0.00765,S,4.025,0.039913043,
SALSA HOT BULL,SALSA HOT BULL,Galon  3.750 lt,PZA,1 vez al mes,6,10,8,2.5,32,13,15,0.00624,S,3.75,0.013312,
CAJA PARA ALITAS,CAJA PARA ALITAS,Caja c/200 pzas,PZA,Cada 6 meses,4,10,6,0.416,33,35,25,0.028875,S,200,0.00086625,
HOJAS DE PAPEL ALUMINIO,HOJAS DE PAPEL ALUMINO,150 HOJAS,PZA,Cada 2 meses,7,15,9,1.875,,,,,S,150,0,
CONDIMENTO L&P,POLVO LEMON PEPPER,Bolsa de 1/2 kg,BOL,1 vez al mes,11,20,15,5,20,8,9,0.00144,S,0.5,0.0432,
QUESO OAXACA,QUESO OAXACA,Bola de 3 kg,PZA,Semanal (Jueves),180,200,163,200,13,21,19,0.005187,R,3,0.281827,
PAPAS MCCAIN,PAPAS A LA FRANCESAS ,Bolsa de 2.5 kg,BLS,Semanal (Jueves),75,130,83,130,9,42,33,0.012474,C,2.5,0.4141368,
BONELESS,BONELESS,Bolsa de 2 kg,BLS,Semanal (Jueves),94,120,100,120,8,39,33,0.010296,C,2,0.5148,
SALSA RANCH,ADEREZO RANCH,Bolsa de 2 kg,PZA,1 vez al mes,15,20,7,5,5,20,22,0.0022,R,2,0.0077,
SALSA BLUE CHEESE,ADEREZO BLUE CHEESE,Bolsa de 2 kg,PZA,1 vez al mes,1,5,3,1.25,,,,,R,2,0,
SALSA LEMON PEPPER,SALSA LEMON PEPPER,Galon 3.8 lt,PZA,1 vez al mes,1,5,3,1.25,32,19,10,0.00608,S,3.8,0.0048,
SALSA MANGO HABANERO,SALSA MANGO HABANERO ,Galon 3.8 lt,PZA,1 vez al mes,8,15,10,3.75,,,,,S,3.8,0,
SALSA HAWAI,SALSA HAWAII,Galon 3.8 lt,PZA,1 vez al mes,1,5,1,1.25,,,,,S,3.8,0,
SALSA TERIYAKI,SALSA TERIYAKI,Galon 3.8 lt,PZA,1 vez al mes,1,5,1,1.25,,,,,S,3.8,0,
SALSA HONEY MUSTERD,SALSA MOSTAZA MIEL,Galon 3.8 lt,PZA,1 vez al mes,3,10,4,2.5,,,,,S,3.8,0,
CONO PERSONALIZADO,CONO PERSONALIZADO,Paquete 50 Pz,PQ,Cada 2 meses,19,25,16,3.125,8,22,25,0.0044,S,50,0.001408,
PLATO PERSONALIZADO,PLATO PERSONALIZADO,Paquete 50 Pz,PQ,Cada 2 meses,49,90,55,11.25,5,21,18,0.00189,S,50,0.002079,
PALILLO TIPO BANDERILLA,PALILLOS TIPO BANDERILLA,Paquete 100 Pz,PQ,1 vez al mes,13,25,16,6.25,,,,,S,100,0,
SALSA QUESO CHEDDAR,SALSA QUESO CHEDDAR,Bolsa de 3 kg,PZA,Semanal (Jueves),21,30,19,30,6,33,27,0.005346,R,3,0.033858,
CONO OBLEA,CONO OBLEA,Caja 100 piezas,CJ,Semanal (Viernes),50,70,65,70,63,13,12,0.009828,R,100,0.0063882,
BASE HELADO VAINILLA,BASE HELADO,Caja 9 Bolsas de 2 kg,CJ,Cada 15 dias,19,25,21,12.5,22,30,31,0.02046,S,18,0.02387,
BASE HELADO CHOCOLATE,BASE HELADO,Caja 9 Bolsas de 2 kg,CJ,Cada 15 dias,14,22,15,11,,,,,S,18,0,
